Type d'équipement ;Is Loading Bay Item ;Zone spécifique du quai de chargement ;Nom ;Numéro d'asset ;Fabricant ;Modèle ;Nom de la salle ;Nom de baie ;Slot U ;Nom du châssis ;Module Slot ;Type ;Autre type ;SHORT_NAME ;SERIAL NUMBER ;End_Move_Target ;ASSET_TAG ;ASSET_ID ;Equipement approximé ;Type de puissance ;Puissance nominale (kW);Puissance typique (kW);Puissance spécifiée par l'utilisateur (kW);Facteur de charge (%);Puissance en entrée (kW);Type de phase ;Statut de l'équipement ;Nombre de cordons ;Nombre de cordons connectés ;Nombre de cordons actifs ;Nombre de cordons requis ;Onduleurs (UPS) ;Cordon électrique 1 PDU ;Cordon électrique 1 Prise de courant ;Cordon électrique 1 Socket Circuit ;Cordon électrique 2 PDU ;Cordon électrique 2 Prise de courant ;Cordon électrique 1 Alimentation électrique ;Cordon électrique 1 Type de prise ;Cordon électrique 3 PDU ;Cordon électrique 3 Prise de courant ;Cordon électrique 2 Socket Circuit ;Cordon électrique 1 Disjoncteur ;Cordon électrique 1 Socket Phase ;Cordon électrique 4 PDU ;Cordon électrique 4 Prise de courant ;Cordon électrique 2 Type de prise ;Cordon électrique 2 Alimentation électrique ;Cordon électrique 2 Disjoncteur ;Cordon électrique 2 Socket Phase ;Etat d'installation ;Date d'installation (dd/mm/yyyy);Cordon électrique 3 Alimentation électrique ;Cordon électrique 3 Disjoncteur ;Date de décommissionnement (dd/mm/yyyy);Repérage ID ;Cordon électrique 4 Alimentation électrique ;Cordon électrique 4 Disjoncteur ;Montage ;Sens de montage ;Style de montage ;LONG_NAME ;Lames installées ;Allée ;Cage ;Zone ;Hauteur (U);Largeur (m);Profondeur (m);Poids (kg);Synchronisé avec Gateway ;ID Système externe ;ID Système Asset ;ID Système Baie ;ID Système Châssis 
Equipements IT;;;IAO N.4;;Switch Standard;;PC;H13;30;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.01;;;50;0.005;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;H13:Slot 30;;;Avant;Pas de rotation;Monté(s) en baie;IAO N.4;;;;;1;0.445;0.22;5;;0;798938-127739;798938-127691;
Equipements IT;;;IAO N.3;;Switch Standard;;PC;H13;32;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.01;;;50;0.005;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;H13:Slot 32;;;Avant;Pas de rotation;Monté(s) en baie;IAO N.3;;;;;1;0.445;0.22;5;;0;798938-127744;798938-127691;
Equipements IT;;;IAO N.2;;Switch Standard;;PC;H13;34;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.01;;;50;0.005;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;H13:Slot 34;;;Avant;Pas de rotation;Monté(s) en baie;IAO N.2;;;;;1;0.445;0.22;5;;0;798938-127749;798938-127691;
Equipements IT;;;VERS SALLE STOCKAGE;;Switch Standard;;PC;H13;36;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.01;;;50;0.005;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply A;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;H13:Slot 36;;;Avant;Pas de rotation;Monté(s) en baie;VERS SALLE STOCKAGE;;;;;1;0.445;0.22;5;;0;798938-127756;798938-127691;
Equipements IT;;;vers PCT2;;Switch Standard;;PC;H13;39;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.01;;;50;0.005;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;H13:Slot 39;;;Avant;Pas de rotation;Monté(s) en baie;vers PCT2;;;;;1;0.445;0.22;5;;0;798938-127762;798938-127691;
Equipements IT;;;vers PCT1;;Switch Standard;;PC;H13;41;;;Serveurs;;0;0;0;0;0;0;Puissance nominale et facteur;0.01;;;50;0.005;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;H13:Slot 41;;;Avant;Pas de rotation;Monté(s) en baie;vers PCT1;;;;;1;0.445;0.22;5;;0;798938-127767;798938-127691;
Equipements IT;;;L15:Slot 11;;NetApp;DS224C;PC;L15;11;;;Stockage;;0;0;0;0;0;0;Puissance nominale et facteur;0.42;;;32.148;0.135;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;L15:Slot 11;;;Avant;Pas de rotation;Monté(s) en baie;;;;;;2;0.445;0.484;24.2;;0;117729-93291;798938-127822;
Equipements IT;;;L15:Slot 13;;NetApp;DS224C;PC;L15;13;;;Stockage;;0;0;0;0;0;0;Puissance nominale et facteur;0.42;;;32.148;0.135;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;L15:Slot 13;;;Avant;Pas de rotation;Monté(s) en baie;;;;;;2;0.445;0.484;24.2;;0;111521-93204;798938-127822;
Equipements IT;;;L15:Slot 15;;NetApp;DS224C;PC;L15;15;;;Stockage;;0;0;0;0;0;0;Puissance nominale et facteur;0.42;;;32.148;0.135;Monophasé;On;2;2;2;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;L15:Slot 15;;;Avant;Pas de rotation;Monté(s) en baie;;;;;;2;0.445;0.484;24.2;;0;106017-93108;798938-127822;
Equipements IT;;;L15:Slot 17;;ATTO;FibreBridge 7500;PC;L15;17;;;Serveurs;Bridge;0;0;0;0;0;0;Puissance nominale et facteur;0.132;;;50;0.066;Monophasé;On;2;2;1;1;Non défini;Supply A;Non défini;;Supply B;Non défini;Non-connecté;;;;;Non défini;;;;;Non-connecté;Non défini;;Installé;2018-04-19T00:00:00.000Z;;;;L15:Slot 17;;;Avant;Pas de rotation;Monté(s) en baie;;;;;;1;0.44;0.251;4.4;;0;90586-93021;798938-127822;
