1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Audit sur site;Notes;Asset_id to Add;Source d'information Asset_id;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 29;1;Balai Clean;;;P1D16:Slot 29;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;29;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 31;1;Balai Clean;;;P1D16:Slot 31;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;31;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 33;1;Balai Clean;;;P1D16:Slot 33;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;33;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 35;1;Balai Clean;;;P1D16:Slot 35;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;35;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 37;1;Balai Clean;;;P1D16:Slot 37;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;37;NULL;NULL;;;;;
7148SX 48-ports Switch (DCS-7148SX-F);Switch;Arista;;;;;;;P1;D16:Slot 39;1;Balai Clean;;;P1D16:Slot 39;5-Clean Projet AIR22 Datacenter P1P2;Commun;NULL;D16;39;NULL;NULL;;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;P1-P3_T3;;;;;;P1;D16:Slot 40;1;Balai Clean;;;P1D16:Slot 40;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;D16;40;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;P1-P3_T2;;;;;;P1;D16:Slot 41;1;Balai Clean;;;P1D16:Slot 41;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;D16;41;Identifiable;NULL;patch panel;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;P1-P3_T1;;;;;;P1;D16:Slot 42;1;Balai Clean;;;P1D16:Slot 42;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;D16;42;Identifiable;NULL;patch panel;;;;
SureStore E Hub S10;Router;HP;;;;;;2657436;P1;E16:Slot 03;2;;;;P1E16:Slot 03;6-Reste Ã  traiter;Commun;NULL;E16;3;NULL;NULL;;;;;
SureStore E Hub S10;Router;HP;;;;;;2657435;P1;E16:Slot 05;2;;;;P1E16:Slot 05;6-Reste Ã  traiter;Commun;NULL;E16;5;NULL;NULL;;;;;
OmniSwitch 6850-48;Switch;Alcatel-Lucent;T15;;;;;;P1;E16:Slot 14;1;Balai Clean;;;P1E16:Slot 14;5-Clean Projet AIR22 Datacenter P1P2;Commun;Omniswitch : Not in CMDB - To validate with Serge;E16;14;Identifiable;NULL;patch panel;;;;
