Modele;Type;Fabricant;LONG_NAME;SHORT_NAME;SERIAL_NUMBER;ASSET_ID;ASSET_TAG;asset_number;Nom_de_la_salle;Reperage_ID_origin;Reperage_ID;End_Move_Target;STATUS_hpe;salle_Dest;Rack_U_Dest;olivier_index;PROJET_Responsable;A_FAIRE_VALIDER;Valide_O_N;AUTRE_PROPOSITION_ou_CONFIRMER;Termine_Oui_Non;Index_CC;from_source;status_CMDB;status_position_cmdb;status_asset_id;status_position;status_name;status_etat;status_global;status_etat_hpe;status_spec;status_cc;status_cc_2;status_cc_3;CMDB_Servers_Status;CMDB_Servers_Owner;Hauteur_U
ProLiant DL325 Gen10 Plus;Serveurs;HPE;;0;0;pcp: 278;0;0;P3;;L11:Slot 37;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;PCP : KO;PCP : KO;CHIPRE PCP : KO;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;;0;0;pcp: 279;0;0;P3;;L11:Slot 38;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;PCP : KO;PCP : KO;CHIPRE PCP : KO;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;;0;0;pcp: 280;0;0;P3;;L11:Slot 39;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;PCP : KO;PCP : KO;CHIPRE PCP : KO;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;;0;0;pcp: 281;0;0;P3;;L11:Slot 40;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;PCP : KO;PCP : KO;CHIPRE PCP : KO;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;;0;0;pcp: 282;0;0;P3;;L11:Slot 41;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;PCP : KO;PCP : KO;CHIPRE PCP : KO;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;;0;0;pcp: 283;0;0;P3;;L11:Slot 42;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;PCP : KO;PCP : KO;CHIPRE PCP : KO;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;;0;0;pcp: 284;0;0;P3;;L11:Slot 43;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;PCP : KO;PCP : KO;CHIPRE PCP : KO;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;;0;0;pcp: 285;0;0;P3;;L11:Slot 44;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;PCP : KO;PCP : KO;CHIPRE PCP : KO;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;;0;0;pcp: 286;0;0;P3;;L11:Slot 45;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;PCP : KO;PCP : KO;CHIPRE PCP : KO;;;;;1.0
Proliant DL380 G5;Serveurs;Hp;JAMAR1;JAMAR1;CZC6382XBQ;M-0000213951;2885719;2885719;P3;AC33:Slot 05;AC33:Slot 05;Sc1 P2P ACN Move;6sigma Hpe;P3;AB29:Slot 25;P3AC33:Slot 05;1-Projet ACN + RNT;Eric Tormos;Non;CLEAN;;P3AC33:Slot 05;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
