Modele;Type;Fabricant;LONG_NAME;SHORT_NAME;SERIAL_NUMBER;ASSET_ID;ASSET_TAG;asset_number;Nom_de_la_salle;Reperage_ID_origin;Reperage_ID;End_Move_Target;STATUS_hpe;salle_Dest;Rack_U_Dest;olivier_index;PROJET_Responsable;A_FAIRE_VALIDER;Valide_O_N;AUTRE_PROPOSITION_ou_CONFIRMER;Termine_Oui_Non;Index_CC;from_source;status_CMDB;status_position_cmdb;status_asset_id;status_position;status_name;status_etat;status_global;status_etat_hpe;status_spec;status_cc;status_cc_2;status_cc_3;CMDB_Servers_Status;CMDB_Servers_Owner;Hauteur_U
Proliant DL380 G9 (1400W SFF);Serveurs;HP;PB325;S3517TOS;CZJ84906JB;M-0000895326;RN001515;RN001515;P1;W24:Slot 31;W24:Slot 31;0;;;;;;;;;;P1W24:Slot 31;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;2.0
Commutateurs KVM;Autres;APC;TKE1Z14_C2;0;0;0;0;0;P1;;AG12:Slot 28;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
Nexus 2248TP GE Fabric Extender Port Intakes;Switchs (Commutateurs);Cisco;SWC2P127_Fex113;0;0;0;0;0;P1;;Q24:Slot 37;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
Nexus 2248TP GE Fabric Extender Port Intakes;Switchs (Commutateurs);Cisco;SWC2P126_Fex113;0;0;0;0;0;P1;;Q24:Slot 38;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
Patch (48 Ports);Patch Panel;;;0;0;patch panel: 88;0;0;P1;;AL11:Slot 41;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;Trouvé - Patch Panel;Trouvé - Patch Panel;CHIPRE Trouvé - Patch Panel;;;;;1.0
Patch (48 Ports);Patch Panel;;;0;0;patch panel: 89;0;0;P1;;AL11:Slot 42;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;Trouvé - Patch Panel;Trouvé - Patch Panel;CHIPRE Trouvé - Patch Panel;;;;;1.0
Patch (24 Ports);Patch Panel;;;0;0;patch panel: 90;0;0;P1;;AD27:Slot 38;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;Trouvé - Patch Panel;Trouvé - Patch Panel;CHIPRE Trouvé - Patch Panel;;;;;1.0
Patch (24 Ports);Patch Panel;;;0;0;patch panel: 91;0;0;P1;;AD27:Slot 40;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;Trouvé - Patch Panel;Trouvé - Patch Panel;CHIPRE Trouvé - Patch Panel;;;;;1.0
Patch (24 Ports);Patch Panel;;;0;0;patch panel: 92;0;0;P1;;AD27:Slot 42;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;Trouvé - Patch Panel;Trouvé - Patch Panel;CHIPRE Trouvé - Patch Panel;;;;;1.0
Patch (24 Ports);Patch Panel;;;0;0;patch panel: 93;0;0;P1;;AD28:Slot 36;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;Trouvé - Patch Panel;Trouvé - Patch Panel;CHIPRE Trouvé - Patch Panel;;;;;1.0
Patch (24 Ports);Patch Panel;;;0;0;patch panel: 94;0;0;P1;;AD28:Slot 38;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;Trouvé - Patch Panel;Trouvé - Patch Panel;CHIPRE Trouvé - Patch Panel;;;;;1.0
Patch (24 Ports);Patch Panel;;;0;0;patch panel: 95;0;0;P1;;AD28:Slot 40;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;Trouvé - Patch Panel;Trouvé - Patch Panel;CHIPRE Trouvé - Patch Panel;;;;;1.0
Patch (24 Ports);Patch Panel;;;0;0;patch panel: 96;0;0;P1;;AD28:Slot 42;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;Trouvé - Patch Panel;Trouvé - Patch Panel;CHIPRE Trouvé - Patch Panel;;;;;1.0
DS14 ;Serveurs;NetApp;CALISTO2_DISK;0;0;0;0;0;P1;;B26:Slot 02;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;3.0
OmniView PRO3 USB & PS/2 16-Port KVM Switch;Switchs (Commutateurs);Belkin;TCLINE4 Maintenance;0;0;0;0;0;P4;;J38:Slot 33;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
OmniView PRO3 USB & PS/2 16-Port KVM Switch;Switchs (Commutateurs);Belkin;TCLINE3 MAINTENANCE;0;0;0;0;0;P4;;J38:Slot 35;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
OmniView PRO3 USB & PS/2 16-Port KVM Switch;Switchs (Commutateurs);Belkin;TCLINE1;0;0;0;0;0;P4;;J38:Slot 39;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;nom_court type OLD;Installed;Non Trouvé - Mauvais Asset ID - KO localisation - nom_court type OLD - Installed;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
DE2-24C;Serveurs;Oracle;;0;0;0;0;0;P4;;N24:Slot 01;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - Mauvais nom - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;4.0
SPARC T4-2 Server;Serveurs;Oracle;;0;0;0;0;0;P4;;N24:Slot 17;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;3.0
SPARC T4-2 Server;Serveurs;Oracle;;0;0;0;0;0;P4;;N24:Slot 20;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;3.0
DE2-24C;Serveurs;Oracle;;0;0;0;0;0;P4;;N24:Slot 23;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;4.0
LiveAction LiveWire PowerCore 2U;Serveurs;Dell;CINTRA;CINTRA;54BP8B3;0;RN002586;RN002586;P4;;AB15:Slot 37;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;OK nom_court;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - OK nom_court - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;2.0
3PAR StoreServ 82002 Node Storage Base ;Serveurs;HP;;0;0;0;0;0;P4;;AB17:Slot 18;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;2.0
Ethernet 24p;Autres;APC;HUB42;0;0;0;0;0;P4;;AE15:Slot 42;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
QRadar xx29;Serveurs;IBM;PSYCHO22;PSYCHO22;0;0;RN002560;RN002560;P4;;AE16:Slot 32;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;OK nom_court;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - OK nom_court - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;2.0
QRadar QFlow Collector 1201/1501;Serveurs;IBM;PSYCHO100;0;7803591;0;RN002562;RN002562;P4;;AE16:Slot 34;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;OK nom_long;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - OK nom_long - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;1.0
QRadar QFlow Collector 1201/1501;Serveurs;IBM;PSYCHO102;0;7803601;0;RN002563;RN002563;P4;;AE16:Slot 35;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;OK nom_long;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - OK nom_long - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;1.0
Nexus 2248TP GE Fabric Extender Power Intakes;Switchs (Commutateurs);Cisco;SWC2P425_Fex114;0;0;0;0;0;P4;;AE16:Slot 37;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
Nexus 2248TP GE Fabric Extender Power Intakes;Switchs (Commutateurs);Cisco;SWC2P424_Fex114;0;0;0;0;0;P4;;AE16:Slot 38;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
Power System S922;Serveurs;IBM;7807D31;0;0;0;0;0;P4;;AE22:Slot 21;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - Mauvais nom - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;2.0
Power System S922;Serveurs;IBM;7807D21;0;0;0;0;0;P4;;AE22:Slot 23;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - Mauvais nom - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;2.0
7310-CR3 Rack-mounted HMC;Serveurs;IBM;HMC1;0;0;0;0;0;P4;;AE22:Slot 25;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - Mauvais nom - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;1.0
7316-TF4;Autres;IBM;KVM;0;0;0;0;0;P4;;AE22:Slot 26;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
Power System S922;Serveurs;IBM;7807D01;0;0;0;0;0;P4;;AE22:Slot 27;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - Mauvais nom - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;2.0
Power System S922;Serveurs;IBM;7807D51;0;0;0;0;0;P4;;AE22:Slot 29;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - Mauvais nom - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;2.0
Power System S922;Serveurs;IBM;7807D41;0;0;0;0;0;P4;;AE22:Slot 31;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;2.0
BladeSystem c7000 Enclosure (Fully Populated);Serveurs;HP;CH159;0;0;0;0;0;P4;;AE23:Slot 11;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - Mauvais nom - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;10.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;C2BM-3DEXP-I001;0;0;0;0;0;P4;;AE23:Slot 21;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;OK nom_long;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - OK nom_long - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;C2BM-3DEXP-I002;0;0;0;0;0;P4;;AE23:Slot 22;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;OK nom_long;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - OK nom_long - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;C2BM-3DEXP-I003;0;0;0;0;0;P4;;AE23:Slot 23;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;OK nom_long;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - OK nom_long - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;1.0
ProLiant DL325 Gen10 Plus;Serveurs;HPE;C2BM-3DEXP-I004;0;0;0;0;0;P4;;AE23:Slot 24;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;OK nom_long;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - OK nom_long - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;1.0
System x3550 M3;Serveurs;IBM;VMW-NSDMZ-C2002;0;0;0;0;0;P4;;AB22:Slot 17;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
7310-CR3 Rack-mounted HMC;Serveurs;IBM;HMC;0;0;0;0;0;P4;;AB22:Slot 38;;;;;;;;;;;;6SIGMA;KO;KO;Non Trouvé - Mauvais Asset ID;KO localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - KO localisation - Mauvais nom - KO Etat_CMDB;pas asset id & pas de localisation;NULL;CHIPRE pas asset id & pas de localisation;;;;;1.0
NX-8235-G7;Serveurs;Nutanix;COC2HV7001-7002;0;0;0;0;0;P4;;L19:Slot 07;;;;;;;;;;;;6SIGMA;KO;OK;Non Trouvé - Mauvais Asset ID;Bonne localisation;Mauvais nom;KO Etat_CMDB;Non Trouvé - Mauvais Asset ID - Bonne localisation - Mauvais nom - KO Etat_CMDB;pas asset id & localisation;NULL;CHIPRE pas asset id & localisation;;;;;2.0
Nexus 5548P Switch;Switchs (Commutateurs);Cisco;SWC2P227;SWC2P227;SSI15180MAG;M-0000357654;AF209549;AF209549;P2;E25:Slot 39;E25:Slot 39;Balai Stock;6sigma Hpe;;;P2E25:Slot 39;2-Exit P1/P2;Cecile Pialot;Oui;;;P2E25:Slot 39;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;OK nom_court;Installed;Trouvé - bon asset id - KO localisation - OK nom_court - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;1.0
Nexus 5548P Switch;Switchs (Commutateurs);Cisco;SWC2P226;SWC2P226;SSI1523094S;M-0000357653;AF209550;AF209550;P2;E25:Slot 40;E25:Slot 40;Balai Stock;6sigma Hpe;;;P2E25:Slot 40;2-Exit P1/P2;Cecile Pialot;Oui;;;P2E25:Slot 40;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;OK nom_court;Installed;Trouvé - bon asset id - KO localisation - OK nom_court - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;1.0
Catalyst 6509-E;Switchs (Commutateurs);Cisco;SWC2P223;SWC2P223;SMC1248006K;M-0000293500;AF209794;AF209794;P2;F25:Slot 04;F25:Slot 04;Balai Clean;6sigma Hpe;;;P2F25:Slot 04;2-Exit P1/P2;Cecile Pialot;oui;Clean;;P2F25:Slot 04;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;14.0
Catalyst 6509-E;Switchs (Commutateurs);Cisco;SWC2P222;SWC2P222;SMC12470041;M-0000293518;AF209793;AF209793;P2;F25:Slot 20;F25:Slot 20;Balai Clean;6sigma Hpe;;;P2F25:Slot 20;2-Exit P1/P2;Cecile Pialot;oui;Clean;;P2F25:Slot 20;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;14.0
Nexus 2248TP GE Fabric Extender Port Intakes;Switchs (Commutateurs);Cisco;SWC2P231-Fex111;SWC2P231-FEX111;FOX1905GCJM;M-0000698508;AF209759;AF209759;P2;F25:Slot 37;F25:Slot 37;Balai Stock;6sigma Hpe;;;P2F25:Slot 37;2-Exit P1/P2;Cecile Pialot;Oui;;;P2F25:Slot 37;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
Nexus 2248TP GE Fabric Extender Port Intakes;Switchs (Commutateurs);Cisco;SWC2P230-Fex111;SWC2P230-FEX111;FOX1905GCJK;M-0000698507;AF209758;AF209758;P2;F25:Slot 38;F25:Slot 38;Balai Stock;6sigma Hpe;;;P2F25:Slot 38;2-Exit P1/P2;Cecile Pialot;Oui;;;P2F25:Slot 38;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
WS-C4506;Switchs (Commutateurs);CISCO SYSTEMS;SWC2P210;SWC2P210;FOX082505HX;M-0000231373;2661941;2661941;P2;G25:Slot 03;G25:Slot 03;Balai Clean;6sigma Hpe;;;P2G25:Slot 03;2-Exit P1/P2;Cecile Pialot;oui;Clean;;P2G25:Slot 03;6SIGMA;OK;KO;Trouvé - bon asset id;KO localisation;OK nom_court;Installed;Trouvé - bon asset id - KO localisation - OK nom_court - Installed;asset id & pas de localisation;NULL;CHIPRE asset id & pas de localisation;;;;;10.0
Integrity RX7640;Serveurs;HP;HPRX30;HPRX30;DEH4842HCF;M-0000265323;AF047485;AF047485;P4;AB02:Slot 04;AB02:Slot 04;Sc1 P2P ACN Move;6sigma Hpe;P4;AB11:Slot 04;P4AB02:Slot 04;1-Projet ACN + RNT;Eric Tormos;Non;03/23 CLEAN;;P4AB02:Slot 04;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;10.0
Integrity RX7640;Serveurs;HP;HPRX37;HPRX37;DEH4942J8S;M-0000289459;AF047922;AF047922;P4;AB03:Slot 04;AB03:Slot 04;;6sigma Hpe;;;P4AB03:Slot 04;0-EXISTANT P3/P4;;;;;P4AB03:Slot 04;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;10.0
Integrity RX7640;Serveurs;HP;HPRX35;HPRX35;DEH4942J8P;M-0000293261;AF046119;AF046119;P4;AB03:Slot 14;AB03:Slot 14;Sc5 Clean;6sigma Hpe;;;P4AB03:Slot 14;1-Projet ACN + RNT;Eric Tormos;Oui;CLEAN;;P4AB03:Slot 14;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;10.0
BladeSystem c7000 Enclosure (Fully Loaded);Serveurs;HP;BL611;BL611;GB8952D8LT;M-0000293193;AF046071;AF046071;P4;AB04:Slot 11;AB04:Slot 11;Sc5 Clean MAIS REUTILISATION Chassis Move;6sigma Hpe;P3;T27:Slot 01;P4AB04:Slot 11;1-Projet ACN + RNT;Guillaume Bailly;Oui;;;P4AB04:Slot 11;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Available;Trouvé - bon asset id - Bonne localisation - OK nom_court - Available;Available;NULL;CHIPRE Available;;;;;10.0
BladeSystem c7000 Enclosure (Fully Loaded);Serveurs;HP;BL401;BL401;GB88404KJT;M-0000263523;AF047466;AF047466;P4;AB05:Slot 17;AB05:Slot 17;Sc5 Clean;6sigma Hpe;;;P4AB05:Slot 17;1-Projet ACN + RNT;Guillaume Bailly;Oui;;;P4AB05:Slot 17;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;10.0
SPARC Enterprise T5240;Serveurs;Sun Microsystems;SU583;SU583AOS;BEL0811A2A;M-0000253691;2886800;2886800;P4;AB07:Slot 20;AB07:Slot 20;;6sigma Hpe;;;P4AB07:Slot 20;0-EXISTANT P3/P4;Eric Tormos;Oui;;;P4AB07:Slot 20;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
SunFire T2000;Serveurs;Sun Microsystems;SU559;SU559TOS;0733NNN0F7;M-0000254972;2886793;2886793;P4;AB07:Slot 26;AB07:Slot 26;;6sigma Hpe;;;P4AB07:Slot 26;0-EXISTANT P3/P4;Eric Tormos;Oui;;;P4AB07:Slot 26;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
Proliant DL380 G5;Serveurs;HP;CQ620;CQ620AOC;CZC8093HWL;M-0000252408;2886741;2886741;P4;AB08:Slot 33;AB08:Slot 33;Sc5 Clean;6sigma Hpe;;;P4AB08:Slot 33;1-Projet ACN + RNT;Eric Tormos;Non;03/23 CLEAN;;P4AB08:Slot 33;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;2.0
SNS 3415 Secure Network Server;Serveurs;Cisco;ACSWIFINDUSC2;ACSWIFINDUSC2;FCH1843V05P;M-0000688667;AF207014;AF207014;P4;AB08:Slot 36;AB08:Slot 36;;6sigma Hpe;;;P4AB08:Slot 36;0-EXISTANT P3/P4;Cecile Pialot;Non;Analysis to start to be clean;;P4AB08:Slot 36;6SIGMA;OK;OK;Trouvé - bon asset id;Bonne localisation;OK nom_court;Installed;Trouvé - bon asset id - Bonne localisation - OK nom_court - Installed;Installed;NULL;CHIPRE Installed;;;;;1.0
